"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2002","Portugal","Other roads","Kilometre",":",""
"2002","Romania","Motorways","Kilometre","113",""
"2002","Romania","Other roads","Kilometre","78,783",""
"2002","Slovenia","Motorways","Kilometre","456",""
"2002","Slovenia","Other roads","Kilometre","38,065",""
"2002","Slovakia","Motorways","Kilometre","307",""
"2002","Slovakia","Other roads","Kilometre","42,668",""
"2002","Finland","Motorways","Kilometre","603",""
"2002","Finland","Other roads","Kilometre","78,446",""
"2002","Sweden","Motorways","Kilometre","1,545",""
"2002","Sweden","Other roads","Kilometre","96,747",""
"2002","United Kingdom","Motorways","Kilometre","3,592",""
"2002","United Kingdom","Other roads","Kilometre","412,859",""
"2002","Liechtenstein","Motorways","Kilometre",":",""
"2002","Liechtenstein","Other roads","Kilometre","401",""
"2002","Norway","Motorways","Kilometre",":",""
"2002","Norway","Other roads","Kilometre",":",""
"2002","Switzerland","Motorways","Kilometre","1,304",""
"2002","Switzerland","Other roads","Kilometre","69,888",""
"2002","Turkey","Motorways","Kilometre","1,845",""
"2002","Turkey","Other roads","Kilometre","352,570",""
"2003","Belgium","Motorways","Kilometre","1,729",""
"2003","Belgium","Other roads","Kilometre","142,398",""
"2003","Bulgaria","Motorways","Kilometre",":",""
"2003","Bulgaria","Other roads","Kilometre",":",""
"2003","Czechia","Motorways","Kilometre","518",""
"2003","Czechia","Other roads","Kilometre","54,929",""
"2003","Denmark","Motorways","Kilometre","1,027",""
"2003","Denmark","Other roads","Kilometre","71,048",""
"2003","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,044",""
"2003","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,376",""
"2003","Estonia","Motorways","Kilometre","98",""
"2003","Estonia","Other roads","Kilometre","56,862",""
"2003","Ireland","Motorways","Kilometre","176",""
"2003","Ireland","Other roads","Kilometre","95,843",""
"2003","Greece","Motorways","Kilometre",":",""
"2003","Greece","Other roads","Kilometre",":",""
"2003","Spain","Motorways","Kilometre","10,299",""
"2003","Spain","Other roads","Kilometre","154,285",""
"2003","France","Motorways","Kilometre","10,385",""
"2003","France","Other roads","Kilometre","996,556",""
"2003","Croatia","Motorways","Kilometre","554",""
"2003","Croatia","Other roads","Kilometre","27,790",""
"2003","Italy","Motorways","Kilometre","6,487",""
"2003","Italy","Other roads","Kilometre","166,356",""
"2003","Cyprus","Motorways","Kilometre","268",""
"2003","Cyprus","Other roads","Kilometre","11,492",""
"2003","Latvia","Motorways","Kilometre","0",""
"2003","Latvia","Other roads","Kilometre","59,434",""
"2003","Lithuania","Motorways","Kilometre","417",""
"2003","Lithuania","Other roads","Kilometre","78,476",""
"2003","Luxembourg","Motorways","Kilometre","147",""
"2003","Luxembourg","Other roads","Kilometre","2,875",""
"2003","Hungary","Motorways","Kilometre","542",""
"2003","Hungary","Other roads","Kilometre","29,994",""
"2003","Malta","Motorways","Kilometre",":","z"
"2003","Malta","Other roads","Kilometre","2,227",""
"2003","Netherlands","Motorways","Kilometre","2,542",""
"2003","Netherlands","Other roads","Kilometre","129,856",""
"2003","Austria","Motorways","Kilometre","1,644",""
"2003","Austria","Other roads","Kilometre","105,416",""
"2003","Poland","Motorways","Kilometre","405",""
"2003","Poland","Other roads","Kilometre","376,884",""
"2003","Portugal","Motorways","Kilometre","2,002",""
"2003","Portugal","Other roads","Kilometre",":",""
"2003","Romania","Motorways","Kilometre","113",""
"2003","Romania","Other roads","Kilometre","78,888",""
"2003","Slovenia","Motorways","Kilometre","477",""
"2003","Slovenia","Other roads","Kilometre","37,924",""
"2003","Slovakia","Motorways","Kilometre","318",""
"2003","Slovakia","Other roads","Kilometre","42,679",""
"2003","Finland","Motorways","Kilometre","653",""
"2003","Finland","Other roads","Kilometre","78,455",""
"2003","Sweden","Motorways","Kilometre","1,591",""
"2003","Sweden","Other roads","Kilometre","98,267",""
"2003","United Kingdom","Motorways","Kilometre","3,592",""
"2003","United Kingdom","Other roads","Kilometre","413,575",""
"2003","Liechtenstein","Motorways","Kilometre",":",""
"2003","Liechtenstein","Other roads","Kilometre","401",""
"2003","Norway","Motorways","Kilometre",":",""
"2003","Norway","Other roads","Kilometre",":",""
"2003","Switzerland","Motorways","Kilometre","1,351",""
"2003","Switzerland","Other roads","Kilometre","69,942",""
"2003","Turkey","Motorways","Kilometre","1,880",""
"2003","Turkey","Other roads","Kilometre","353,076",""
"2004","Belgium","Motorways","Kilometre",":",""
"2004","Belgium","Other roads","Kilometre",":",""
"2004","Bulgaria","Motorways","Kilometre","331",""
"2004","Bulgaria","Other roads","Kilometre","18,945",""
"2004","Czechia","Motorways","Kilometre","546",""
"2004","Czechia","Other roads","Kilometre","54,954",""
"2004","Denmark","Motorways","Kilometre","1,032",""
"2004","Denmark","Other roads","Kilometre","71,225",""
"2004","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,174",""
"2004","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,293",""
"2004","Estonia","Motorways","Kilometre","96",""
"2004","Estonia","Other roads","Kilometre","56,941",""
"2004","Ireland","Motorways","Kilometre",":",""
"2004","Ireland","Other roads","Kilometre","96,321",""
"2004","Greece","Motorways","Kilometre",":",""
"2004","Greece","Other roads","Kilometre",":",""
"2004","Spain","Motorways","Kilometre","10,747",""
"2004","Spain","Other roads","Kilometre","154,405",""
"2004","France","Motorways","Kilometre","10,493",""
"2004","France","Other roads","Kilometre","992,002",""
"2004","Croatia","Motorways","Kilometre","742",""
"2004","Croatia","Other roads","Kilometre","27,602",""
"2004","Italy","Motorways","Kilometre","6,532",""
"2004","Italy","Other roads","Kilometre","168,820",""
"2004","Cyprus","Motorways","Kilometre","268",""
"2004","Cyprus","Other roads","Kilometre","11,791",""
"2004","Latvia","Motorways","Kilometre","0",""
"2004","Latvia","Other roads","Kilometre","59,047",""
"2004","Lithuania","Motorways","Kilometre","417",""
"2004","Lithuania","Other roads","Kilometre","78,914",""
"2004","Luxembourg","Motorways","Kilometre","146",""
"2004","Luxembourg","Other roads","Kilometre","2,876",""
"2004","Hungary","Motorways","Kilometre","761",""
"2004","Hungary","Other roads","Kilometre","185,818",""
"2004","Malta","Motorways","Kilometre",":","z"
"2004","Malta","Other roads","Kilometre","2,227",""
"2004","Netherlands","Motorways","Kilometre","2,584",""
"2004","Netherlands","Other roads","Kilometre","130,799",""
"2004","Austria","Motorways","Kilometre","1,670",""
"2004","Austria","Other roads","Kilometre","105,530",""
"2004","Poland","Motorways","Kilometre","552",""
"2004","Poland","Other roads","Kilometre","378,904",""
"2004","Portugal","Motorways","Kilometre","2,092",""
"2004","Portugal","Other roads","Kilometre",":",""
"2004","Romania","Motorways","Kilometre","228",""
"2004","Romania","Other roads","Kilometre","79,226",""
"2004","Slovenia","Motorways","Kilometre","483",""
"2004","Slovenia","Other roads","Kilometre","37,968",""
"2004","Slovakia","Motorways","Kilometre","322",""
"2004","Slovakia","Other roads","Kilometre","42,684",""
"2004","Finland","Motorways","Kilometre","653",""
"2004","Finland","Other roads","Kilometre","78,427",""
"2004","Sweden","Motorways","Kilometre","1,591",""
"2004","Sweden","Other roads","Kilometre","97,163",""
"2004","United Kingdom","Motorways","Kilometre","3,638",""
"2004","United Kingdom","Other roads","Kilometre","408,925",""
"2004","Liechtenstein","Motorways","Kilometre",":",""
"2004","Liechtenstein","Other roads","Kilometre","401",""
"2004","Norway","Motorways","Kilometre","264",""
"2004","Norway","Other roads","Kilometre","92,510",""
"2004","Switzerland","Motorways","Kilometre","1,341",""
"2004","Switzerland","Other roads","Kilometre","69,956",""
"2004","Turkey","Motorways","Kilometre","1,662",""
"2004","Turkey","Other roads","Kilometre","347,553",""
"2005","Belgium","Motorways","Kilometre","1,747",""
"2005","Belgium","Other roads","Kilometre",":",""
"2005","Bulgaria","Motorways","Kilometre","331",""
"2005","Bulgaria","Other roads","Kilometre","18,957",""
"2005","Czechia","Motorways","Kilometre","564",""
"2005","Czechia","Other roads","Kilometre","54,945",""
"2005","Denmark","Motorways","Kilometre",":",""
"2005","Denmark","Other roads","Kilometre",":",""
"2005","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,363",""
"2005","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","219,117",""
"2005","Estonia","Motorways","Kilometre","99",""
"2005","Estonia","Other roads","Kilometre","56,918",""
"2005","Ireland","Motorways","Kilometre","247",""
"2005","Ireland","Other roads","Kilometre","91,091",""
"2005","Greece","Motorways","Kilometre",":",""
"2005","Greece","Other roads","Kilometre",":",""
"2005","Spain","Motorways","Kilometre","11,432",""
"2005","Spain","Other roads","Kilometre","154,214",""
"2005","France","Motorways","Kilometre","10,801",""
"2005","France","Other roads","Kilometre","980,442",""
"2005","Croatia","Motorways","Kilometre","792",""
"2005","Croatia","Other roads","Kilometre","27,644",""
"2005","Italy","Motorways","Kilometre","6,542",""
"2005","Italy","Other roads","Kilometre","168,888",""
"2005","Cyprus","Motorways","Kilometre","276",""
"2005","Cyprus","Other roads","Kilometre","11,870",""
"2005","Latvia","Motorways","Kilometre","0",""
"2005","Latvia","Other roads","Kilometre","59,334",""
"2005","Lithuania","Motorways","Kilometre","417",""
"2005","Lithuania","Other roads","Kilometre","79,080",""
"2005","Luxembourg","Motorways","Kilometre","147",""
"2005","Luxembourg","Other roads","Kilometre","2,728",""
"2005","Hungary","Motorways","Kilometre","859",""
"2005","Hungary","Other roads","Kilometre","187,849",""
"2005","Malta","Motorways","Kilometre",":","z"
"2005","Malta","Other roads","Kilometre","2,227",""
"2005","Netherlands","Motorways","Kilometre","2,602",""
"2005","Netherlands","Other roads","Kilometre","131,616",""
"2005","Austria","Motorways","Kilometre","1,677",""
"2005","Austria","Other roads","Kilometre","105,663",""
"2005","Poland","Motorways","Kilometre","552",""
"2005","Poland","Other roads","Kilometre","381,463",""
"2005","Portugal","Motorways","Kilometre","2,341",""
"2005","Portugal","Other roads","Kilometre",":",""
"2005","Romania","Motorways","Kilometre","228",""
"2005","Romania","Other roads","Kilometre","79,676",""
"2005","Slovenia","Motorways","Kilometre","569",""
"2005","Slovenia","Other roads","Kilometre","37,916",""
"2005","Slovakia","Motorways","Kilometre","334",""
"2005","Slovakia","Other roads","Kilometre","43,417",""
"2005","Finland","Motorways","Kilometre","693",""
"2005","Finland","Other roads","Kilometre","78,417",""
"2005","Sweden","Motorways","Kilometre","1,685",""
"2005","Sweden","Other roads","Kilometre","98,491",""
"2005","United Kingdom","Motorways","Kilometre","3,633",""
"2005","United Kingdom","Other roads","Kilometre","409,375",""
"2005","Liechtenstein","Motorways","Kilometre",":",""
"2005","Liechtenstein","Other roads","Kilometre","401",""
"2005","Norway","Motorways","Kilometre","219",""
"2005","Norway","Other roads","Kilometre","92,863",""
"2005","Switzerland","Motorways","Kilometre","1,358",""
"2005","Switzerland","Other roads","Kilometre","69,938",""
"2005","Turkey","Motorways","Kilometre","1,775",""
"2005","Turkey","Other roads","Kilometre","347,571",""
"2006","Belgium","Motorways","Kilometre","1,763",""
"2006","Belgium","Other roads","Kilometre","117,314",""
"2006","Bulgaria","Motorways","Kilometre","394",""
"2006","Bulgaria","Other roads","Kilometre","18,979",""
"2006","Czechia","Motorways","Kilometre","633",""
"2006","Czechia","Other roads","Kilometre","54,952",""
"2006","Denmark","Motorways","Kilometre","1,071",""
"2006","Denmark","Other roads","Kilometre","71,334",""
"2006","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,531",""
