"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2005","Spain","Thousand",":",""
"2005","France","Thousand","476","d"
"2005","Croatia","Thousand","319",""
"2005","Italy","Thousand","597",""
"2005","Cyprus","Thousand","477",""
"2005","Latvia","Thousand","333",""
"2005","Lithuania","Thousand","442","d"
"2005","Luxembourg","Thousand","654",""
"2005","Hungary","Thousand","287",""
"2005","Malta","Thousand","525",""
"2005","Netherlands","Thousand","434",""
"2005","Austria","Thousand","504",""
"2005","Poland","Thousand","323",""
"2005","Portugal","Thousand",":",""
"2005","Romania","Thousand","158",""
"2005","Slovenia","Thousand","479",""
"2005","Slovakia","Thousand","243",""
"2005","Finland","Thousand","462","d"
"2005","Sweden","Thousand","459",""
"2005","United Kingdom","Thousand","467","d"
"2005","Iceland","Thousand","624","e"
"2005","Liechtenstein","Thousand","699",""
"2005","Norway","Thousand","437",""
"2005","Switzerland","Thousand","518",""
"2005","Former Yugoslav Republic of Macedonia, the","Thousand","124",""
"2005","Turkey","Thousand","84",""
"2006","Belgium","Thousand","470",""
"2006","Bulgaria","Thousand","233","d"
"2006","Czechia","Thousand","401",""
"2006","Denmark","Thousand","455",""
"2006","Germany (until 1990 former territory of the FRG)","Thousand","566",""
"2006","Estonia","Thousand","413",""
"2006","Ireland","Thousand","410",""
"2006","Greece","Thousand","412",""
"2006","Spain","Thousand","470","d"
"2006","France","Thousand","478",""
"2006","Croatia","Thousand","331",""
"2006","Italy","Thousand","606",""
"2006","Cyprus","Thousand","492",""
"2006","Latvia","Thousand","372",""
"2006","Lithuania","Thousand","490","d"
"2006","Luxembourg","Thousand","662",""
"2006","Hungary","Thousand","319",""
"2006","Malta","Thousand","537",""
"2006","Netherlands","Thousand","442",""
"2006","Austria","Thousand","508",""
"2006","Poland","Thousand","351",""
"2006","Portugal","Thousand",":",""
"2006","Romania","Thousand","152",""
"2006","Slovenia","Thousand","487",""
"2006","Slovakia","Thousand","248",""
"2006","Finland","Thousand","475","d"
"2006","Sweden","Thousand","461",""
