"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2002","Spain","Number","Drivers","3,125",""
"2002","Spain","Number","Pedestrians","770",""
"2002","France","Number","Passengers","1,541",""
"2002","France","Number","Drivers","5,226",""
"2002","France","Number","Pedestrians","863",""
"2002","Croatia","Number","Passengers",":",""
"2002","Croatia","Number","Drivers",":",""
"2002","Croatia","Number","Pedestrians",":",""
"2002","Italy","Number","Passengers","1,472",""
"2002","Italy","Number","Drivers","4,282",""
"2002","Italy","Number","Pedestrians","1,226",""
"2002","Cyprus","Number","Passengers",":",""
"2002","Cyprus","Number","Drivers",":",""
"2002","Cyprus","Number","Pedestrians",":",""
"2002","Latvia","Number","Passengers",":",""
"2002","Latvia","Number","Drivers",":",""
"2002","Latvia","Number","Pedestrians",":",""
"2002","Lithuania","Number","Passengers",":",""
"2002","Lithuania","Number","Drivers",":",""
"2002","Lithuania","Number","Pedestrians",":",""
"2002","Luxembourg","Number","Passengers","15",""
"2002","Luxembourg","Number","Drivers","41",""
"2002","Luxembourg","Number","Pedestrians","6",""
"2002","Hungary","Number","Passengers",":",""
"2002","Hungary","Number","Drivers",":",""
"2002","Hungary","Number","Pedestrians",":",""
"2002","Malta","Number","Passengers",":",""
"2002","Malta","Number","Drivers",":",""
"2002","Malta","Number","Pedestrians",":",""
"2002","Netherlands","Number","Passengers","159",""
"2002","Netherlands","Number","Drivers","731",""
"2002","Netherlands","Number","Pedestrians","97",""
"2002","Austria","Number","Passengers","172",""
"2002","Austria","Number","Drivers","624",""
"2002","Austria","Number","Pedestrians","160",""
"2002","Poland","Number","Passengers","1,294",""
"2002","Poland","Number","Drivers","2,545",""
"2002","Poland","Number","Pedestrians","1,987",""
"2002","Portugal","Number","Passengers","377",""
"2002","Portugal","Number","Drivers","940",""
"2002","Portugal","Number","Pedestrians","336",""
"2002","Romania","Number","Passengers","547",""
"2002","Romania","Number","Drivers","763",""
"2002","Romania","Number","Pedestrians","1,101",""
