"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2005","Ireland","Total","Total","Number","4,111,672",""
"2005","Greece","Total","Total","Number","10,969,912",""
"2005","Spain","Total","Total","Number","43,296,338",""
"2005","France","Total","Total","Number","62,772,870",""
"2005","France (metropolitan)","Total","Total","Number","60,963,264",""
"2005","Croatia","Total","Total","Number","4,310,861",""
"2005","Italy","Total","Total","Number","57,874,753",""
"2005","Cyprus","Total","Total","Number","733,067",""
"2005","Latvia","Total","Total","Number","2,249,724",""
"2005","Lithuania","Total","Total","Number","3,355,220",""
"2005","Luxembourg","Total","Total","Number","461,230",""
"2005","Hungary","Total","Total","Number","10,097,549",""
"2005","Malta","Total","Total","Number","402,668",""
"2005","Netherlands","Total","Total","Number","16,305,526",""
"2005","Austria","Total","Total","Number","8,201,359",""
"2005","Poland","Total","Total","Number","38,173,835",""
"2005","Portugal","Total","Total","Number","10,494,672",""
"2005","Romania","Total","Total","Number","21,382,354",""
"2005","Slovenia","Total","Total","Number","1,997,590",""
"2005","Slovakia","Total","Total","Number","5,372,685",""
"2005","Finland","Total","Total","Number","5,236,611",""
"2005","Sweden","Total","Total","Number","9,011,392",""
"2005","United Kingdom","Total","Total","Number","60,182,050",""
"2005","Iceland","Total","Total","Number","293,577",""
"2005","Liechtenstein","Total","Total","Number","34,600",""
"2005","Norway","Total","Total","Number","4,606,363",""
"2005","Switzerland","Total","Total","Number","7,415,102",""
"2005","Montenegro","Total","Total","Number","613,420",""
"2005","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,035,196",""
"2005","Albania","Total","Total","Number","3,019,634",""
"2005","Serbia","Total","Total","Number","7,456,050",""
"2005","Turkey","Total","Total","Number","68,010,221",""
"2005","Andorra","Total","Total","Number","76,875",""
"2005","Belarus","Total","Total","Number","9,800,073",""
"2005","Bosnia and Herzegovina","Total","Total","Number","3,842,532","e"
"2005","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,041,000",""
"2005","Moldova","Total","Total","Number","3,600,436",""
"2005","Monaco","Total","Total","Number","33,085",""
"2005","Russia","Total","Total","Number","143,474,219",""
"2005","San Marino","Total","Total","Number","29,673",""
"2005","Ukraine","Total","Total","Number","47,100,462",""
"2005","Armenia","Total","Total","Number","3,215,800",""
"2005","Azerbaijan","Total","Total","Number","8,347,300",""
"2005","Georgia","Total","Total","Number","4,321,500","e"
"2006","Belgium","Total","Total","Number","10,511,382",""
"2006","Bulgaria","Total","Total","Number","7,629,371",""
"2006","Czechia","Total","Total","Number","10,223,577",""
"2006","Denmark","Total","Total","Number","5,427,459",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,437,995",""
"2006","Estonia","Total","Total","Number","1,350,700",""
"2006","Ireland","Total","Total","Number","4,208,156",""
"2006","Greece","Total","Total","Number","11,004,716",""
"2006","Spain","Total","Total","Number","44,009,971",""
"2006","France","Total","Total","Number","63,229,635",""
"2006","France (metropolitan)","Total","Total","Number","61,399,733",""
"2006","Croatia","Total","Total","Number","4,312,487",""
"2006","Italy","Total","Total","Number","58,064,214",""
"2006","Cyprus","Total","Total","Number","744,013",""
"2006","Latvia","Total","Total","Number","2,227,874",""
"2006","Lithuania","Total","Total","Number","3,289,835",""
"2006","Luxembourg","Total","Total","Number","469,086",""
"2006","Hungary","Total","Total","Number","10,076,581",""
"2006","Malta","Total","Total","Number","404,999",""
"2006","Netherlands","Total","Total","Number","16,334,210",""
"2006","Austria","Total","Total","Number","8,254,298",""
"2006","Poland","Total","Total","Number","38,157,055",""
"2006","Portugal","Total","Total","Number","10,511,988",""
"2006","Romania","Total","Total","Number","21,257,016",""
"2006","Slovenia","Total","Total","Number","2,003,358",""
"2006","Slovakia","Total","Total","Number","5,372,928",""
"2006","Finland","Total","Total","Number","5,255,580",""
"2006","Sweden","Total","Total","Number","9,047,752",""
"2006","United Kingdom","Total","Total","Number","60,620,361",""
"2006","Iceland","Total","Total","Number","299,891",""
"2006","Liechtenstein","Total","Total","Number","34,905",""
"2006","Norway","Total","Total","Number","4,640,219",""
"2006","Switzerland","Total","Total","Number","7,459,128",""
"2006","Montenegro","Total","Total","Number","613,109",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,038,514",""
"2006","Albania","Total","Total","Number","3,003,329",""
